ID,AGE_HEAD,AGE_SPOUSE,SEX_HEAD,SEX_SPOUSE,EDU_HEAD,EDU_SPOUSE,OCC_HEAD,OCC_SPOUSE,STATE,MARITAL,HOUSEHOLD_SIZE,CHILDREN,SPOUSE_PRESENT,WEIGHT,INCOME,HEAD_LABOR,SPOUSE_LABOR,WEEKS_HEAD,WEEKS_SPOUSE,WEEKS_OUT_HEAD,WEEKS_OUT_SPOUSE,EXP,GAS,FOOD_HOME,FOOD_DELIV,FOOD_OUT,RENT,EDUC_EXP,CHILDCARE,TRIPS,WEALTH,HOUSE_VALUE,MORTGAGE,MORT_PAY,HOME_EQUITY,BUSINESS_VAL,PROPERTY_TAX
24.999999999999996,30.999999999999996,0,1,0,11.999999999999998,0,4229.999999999999,0,6,2,1,0,0,55564.01699999998,6655.999999999997,6655.999999999997,0,51.99999999999999,0,0,0,13259.999999999995,0,1559.9999999999998,0,0,11699.999999999998,0,0,0,0,0,0,0,0,0,0
25.999999999999996,60.99999999999999,42,1,2,14.999999999999998,15.999999999999998,1559.9999999999998,5819.999999999998,5,4,2,0,1,10016.821999999995,14999.999999999995,13999.999999999995,999.9999999999997,51.99999999999999,51.99999999999999,0,0,10935.999999999995,719.9999999999999,2079.9999999999995,0,0,0,0,0,0,180002.99999999994,169999.99999999997,0,0,169999.99999999997,0,799.9999999999999
26.999999999999996,47.99999999999999,49,1,2,11.999999999999998,11.999999999999998,6229.999999999999,0,44.99999999999999,1,2,0,1,2225.7919999999995,44999.999999999985,44999.999999999985,0,51.99999999999999,0,0,51.99999999999999,23249.99999999999,3599.9999999999995,4159.999999999998,0,1039.9999999999998,0,0,0,0,17999.999999999996,15999.999999999995,0,0,15999.999999999995,0,160
27.999999999999996,60.99999999999999,60.99999999999999,1,2,16.999999999999996,15.999999999999998,229.99999999999991,839.9999999999999,47.99999999999999,1,2,0,1,12812.138999999994,258249.9999999999,159999.99999999997,46899.99999999998,51.99999999999999,4,0,47.99999999999999,92767.99999999996,2135.999999999999,9099.999999999998,0,2079.9999999999995,0,0,0,5999.999999999998,427999.99999999994,324999.9999999999,11999.999999999995,6558.999999999999,312999.9999999999,0,11999.999999999995
28.999999999999996,50.99999999999999,49.99999999999999,1,2,11.999999999999998,11.999999999999998,6354.999999999998,4049.9999999999986,44.99999999999999,1,5,2,1,2024.8679999999993,36666.999999999985,0,13999.999999999995,0,51.99999999999999,0,0,38999.999999999985,0,11959.999999999998,0,7799.999999999997,0,0,0,599.9999999999999,59999.99999999998,59999.99999999998,0,0,59999.99999999998,0,1999.9999999999993
29.999999999999996,55.99999999999999,0,1,0,11.999999999999998,0,0,0,39,4,1,0,0,50212.22599999999,13199.999999999995,0,0,0,0,51.99999999999999,0,9155.999999999998,0,3599.9999999999995,0,0,3215.9999999999986,0,0,0,949.9999999999999,0,0,0,0,0,0
30.999999999999996,59.99999999999999,55.99999999999999,1,2,13.999999999999998,16.999999999999996,0,2309.999999999999,4,1,2,0,1,21382.10399999999,27188.99999999999,0,59.99999999999999,0,1,51.99999999999999,50.99999999999999,86986.43999999996,0,5199.999999999999,0,5199.999999999999,0,0,0,9999.999999999996,2074999.999999999,109999.99999999999,0,0,109999.99999999999,0,1258.7799999999997
31.999999999999996,66.99999999999999,0,2,0,11,0,0,0,36.99999999999999,4,3,0,0,7716.784999999997,21999.999999999993,0,0,0,0,51.99999999999999,0,9371.689999999999,0,0,0,0,3599.9999999999995,0,0,0,0,0,0,0,0,0,0
32.99999999999999,56.99999999999999,0,2,0,12.999999999999998,0,5609.999999999998,0,36.99999999999999,2,1,0,0,4502.121999999999,26999.99999999999,26999.99999999999,0,51.99999999999999,0,0,0,24134.99999999999,1319.9999999999998,4159.999999999998,0,1299.9999999999998,0,0,0,0,47999.99999999998,1499.9999999999995,0,0,1499.9999999999995,0,59.99999999999999
33.99999999999999,72.99999999999999,0,2,0,15.999999999999998,0,0,0,52.99999999999999,3,1,0,0,44126.798999999985,48649.99999999997,0,0,0,0,51.99999999999999,0,25037.99999999999,1439.9999999999995,5199.999999999999,0,479.99999999999994,0,0,0,1999.9999999999993,2135999.9999999986,449999.9999999998,0,0,449999.9999999998,599999.9999999999,3499.9999999999986
34.99999999999999,73.99999999999999,70.99999999999999,1,2,15.999999999999998,11.999999999999998,0,0,28.999999999999996,1,2,0,1,21621.603999999992,60815.99999999998,0,0,0,0,51.99999999999999,51.99999999999999,29854.98999999999,719.9999999999999,3119.9999999999995,0,5199.999999999999,0,0,0,1599.9999999999998,344999.9999999999,274999.99999999994,0,0,274999.99999999994,0,3299.9999999999986
35.99999999999999,85,0,2,0,11.999999999999998,0,0,0,50.99999999999999,4,2,0,0,57230.75999999998,50088.99999999998,0,0,0,0,51.99999999999999,0,50986.99999999998,359.99999999999994,6239.999999999999,0,0,0,0,0,299.99999999999994,712999.9999999998,898999.9999999997,159999.99999999997,18159.999999999996,718999.9999999998,0,2999.999999999999
36.99999999999999,80,77,1,2,16.999999999999996,13.999999999999998,0,0,1,1,2,0,1,30611.21699999999,118999.99999999999,0,0,0,0,51.99999999999999,51.99999999999999,25559.999999999985,959.9999999999999,6499.999999999998,0,2599.9999999999995,0,0,0,2999.999999999999,4113999.999999997,299999.99999999994,0,0,299999.99999999994,0,999.9999999999997
37.99999999999999,45.99999999999999,47,1,2,10,11,0,4509.999999999999,47.99999999999999,1,2,0,1,3879.031999999999,52707.99999999998,0,25999.999999999993,0,51.99999999999999,51.99999999999999,0,82891.59999999998,1919.9999999999993,15599.999999999995,0,7799.999999999997,0,0,0,3999.9999999999986,148999.99999999997,97999.99999999997,0,0,97999.99999999997,0,1699.9999999999998
